 110	0x000d2be4	CcGetFileObjectFromSectionPtrs
 111	0x000cd8ac	CcGetFileObjectFromSectionPtrsRef
 112	0x0009a894	CcGetFlushedValidData
 113	0x000d339f	CcGetLsnForFileObject
 114	0x00097bb6	CcInitializeCacheMap
 115	0x000d3271	CcIsThereDirtyData
 116	0x000d3322	CcIsThereDirtyDataEx
 117	0x00232d3f	CcMapData
 118	0x001f3459	CcMdlRead
 119	0x001f36e2	CcMdlReadComplete
 120	0x000d350d	CcMdlWriteAbort
 121	0x001f3698	CcMdlWriteComplete
 122	0x0023327b	CcPinMappedData
 123	0x00269ca4	CcPinRead
 124	0x000266ad	CcPrepareMdlWrite
 125	0x00281eb0	CcPreparePinWrite
 126	0x00035cb6	CcPurgeCacheSection
 127	0x00095440	CcRemapBcb
 128	0x000d2ebd	CcRepinBcb
 129	0x00035582	CcScheduleReadAhead
 130	0x000288d0	CcSetAdditionalCacheAttributes
 131	0x0029c882	CcSetBcbOwnerPointer
 132	0x000d2b97	CcSetDirtyPageThreshold
 133	0x0008d23c	CcSetDirtyPinnedData
 134	0x0001aefc	CcSetFileSizes
 135	0x000b597a	CcSetFileSizesEx
 136	0x000b58c6	CcSetLogHandleForFile
 137	0x000b4b35	CcSetParallelFlushFile
 138	0x000b8e8b	CcSetReadAheadGranularity
 139	0x000d366f	CcTestControl
 140	0x000959bc	CcUninitializeCacheMap
 141	0x002428c9	CcUnpinData
 142	0x0029c8cf	CcUnpinDataForThread
 143	0x000d2f92	CcUnpinRepinnedBcb
 144	0x000d369f	CcWaitForCurrentLazyWriterActivity
 145	0x001dc270	CcZeroData
 146	0x0029ec7b	CmCallbackGetKeyObjectID
 147	0x0029e38b	CmGetBoundTransaction
 148	0x0029e35f	CmGetCallbackVersion
 149	0x0036c458	CmKeyObjectType
 150	0x0029e3ee	CmRegisterCallback
 151	0x0029e3af	CmRegisterCallbackEx
 152	0x0029edea	CmSetCallbackObjectContext
 153	0x0029e4e1	CmUnRegisterCallback
 154	0x0007b118	DbgBreakPoint
 155	0x0007b10c	DbgBreakPointWithStatus
 156	0x000f8235	DbgCommandString
 157	0x00018531	DbgLoadImageSymbols
 158	0x0000f41f	DbgPrint
 159	0x000c5087	DbgPrintEx
 160	0x000f7ebf	DbgPrintReturnControlC
 161	0x000f7f2b	DbgPrompt
 162	0x000f8293	DbgQueryDebugFilterState
 163	0x00002d97	DbgSetDebugFilterState
